,lat,lon,city,temp,humidity,windspeed,cloudness
34,-1.2969999995764567,-87.98499999956064,san cristobal,299.15,74.0,1.5,75.0
35,33.94900000059184,-157.0039999998902,kapaa,297.36,69.0,8.7,75.0
36,84.48400000083313,-113.53799999968265,yellowknife,253.15,58.0,1.5,5.0
37,-76.50699999993557,-171.54899999995965,vaini,302.15,79.0,4.1,75.0
38,55.13400000069299,-7.471999999176205,buncrana,280.45,76.0,7.86,100.0
39,11.190000000483167,-70.37699999947657,punta cardon,298.95,78.0,11.02,92.0
40,-80.2189999999533,-49.73799999937802,ushuaia,281.15,81.0,16.5,90.0
41,-1.6699999995782377,44.1950000010705,kismayo,301.75,77.0,5.7,69.0
42,-16.092999999647105,29.79500000100174,karoi,289.15,89.0,1.78,41.0
43,-27.43899999970128,56.329000001128435,saint-joseph,296.47,88.0,4.6,96.0
44,7.771000000466842,-105.72099999964533,ixtapa,297.15,83.0,0.75,5.0
45,45.43400000064668,9.704000000905808,crema,274.38,86.0,1.5,100.0
46,33.81300000059119,-57.31699999941421,saint george,280.77,76.0,2.6,1.0
47,82.79800000082508,-146.8669999998418,barrow,259.15,77.0,2.1,1.0
48,-2.854999999583896,-150.97799999986142,faanui,301.95,64.0,0.26,1.0
50,49.821000000667624,-35.17299999930847,lagoa,288.55,81.0,9.49,22.0
51,33.51600000058977,-154.81099999987973,kapaa,297.36,69.0,8.7,75.0
52,5.902000000457917,-36.584999999315215,itarema,296.75,91.0,1.35,96.0
54,-57.616999999845376,-17.93399999922616,arraial do cabo,297.55,65.0,4.41,0.0
55,39.00500000061598,-164.61499999992654,kapaa,297.36,69.0,8.7,75.0
56,63.00800000073059,-16.054999999217188,hofn,277.25,62.0,17.78,91.0
57,-4.807999999593221,15.7340000009346,kasangulu,298.15,83.0,2.1,75.0
58,43.51700000063752,-125.62899999974039,north bend,280.29,75.0,3.6,75.0
59,-35.78699999974114,-15.73699999921567,jamestown,275.39,93.0,4.6,90.0
60,44.87800000064402,-42.10799999934159,torbay,268.85,73.0,7.2,20.0
61,-2.0939999995802623,-51.97099999938868,porto de moz,297.05,95.0,1.65,57.0
